Operation, Opt_ID, Threads, Queue Depth, Device Queue Depth, KIOPS , Bandwidth(MiBs), cpu_core_index, usr, nice, sys, iowait, irq, soft, steal, guest, gnice, cpu_usages
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,0,0.21,0.0,4.12,0.0,0.03,0.07,0.0,0.0,0.0,4.430000000000001
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,1,0.01,0.0,6.11,0.0,1.62,0.01,0.0,0.0,0.0,7.75
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,2,0.01,0.0,7.62,0.0,2.04,0.02,0.0,0.0,0.0,9.69
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,3,0.01,0.0,2.55,0.0,0.67,0.01,0.0,0.0,0.0,3.2399999999999993
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,4,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,5,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,6,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,8,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,9,0.02,0.0,0.09,0.0,0.01,0.01,0.0,0.0,0.0,0.13
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,10,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,12,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,13,0.01,0.0,0.17,0.0,0.45,0.0,0.0,0.0,0.0,0.63
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,14,0.01,0.0,0.1,0.0,0.22,0.0,0.0,0.0,0.0,0.33
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,15,0.01,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.07
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,16,0.03,0.0,0.02,0.0,0.01,0.0,0.0,0.05,0.0,0.11000000000000001
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,17,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.09
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,18,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.31,0.0,0.33999999999999997
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,19,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.07
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,20,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.060000000000000005
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,21,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.11000000000000001
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,22,0.03,0.0,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.08
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,23,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.06,0.0,0.11
