Operation, Opt_ID, Threads, Queue Depth, Device Queue Depth, KIOPS , Bandwidth(MiBs), cpu_usages_mean, cpu_usages_variance
Random 4KB Write,randomwriteq1t1,1,1,1,8.3201,33.3,4.430000000000007,0
Random 4KB Write,randomwriteq1t2,2,1,2,16.78201,67.1,3.5,0.1
Random 4KB Write,randomwriteq1t4,4,1,4,28.53866,114.2,5.3,0.6
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,6.4,0.5
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,6.0,0.5
Random 4KB Write,randomwriteq1t32,32,1,32,101.04925999999999,404.2,5.4,0.7
Random 4KB Write,randomwriteq1t64,64,1,64,165.40813,661.8,12.7,1.1
Random 4KB Write,randomwriteq2t1,1,2,2,16.03324,64.1,10.269999999999996,0
Random 4KB Write,randomwriteq2t2,2,2,4,30.18908,120.8,7.8,0.2
Random 4KB Write,randomwriteq2t4,4,2,8,40.848949999999995,163.4,10.6,0.4
Random 4KB Write,randomwriteq2t8,8,2,16,54.60936,218.4,9.4,0.5
Random 4KB Write,randomwriteq2t16,16,2,32,111.48555999999999,445.9,8.2,0.4
Random 4KB Write,randomwriteq2t32,32,2,64,170.01234,680.1,10.3,0.6
Random 4KB Write,randomwriteq2t64,64,2,128,8.16223,1024.6,89.8,0.5
Random 4KB Write,randomwriteq4t1,1,4,4,27.91403,111.7,19.11,0
Random 4KB Write,randomwriteq4t2,2,4,8,38.58309,154.3,20.2,0.4
Random 4KB Write,randomwriteq4t4,4,4,16,55.260400000000004,221.0,15.1,0.5
Random 4KB Write,randomwriteq4t8,8,4,32,76.45055,305.8,14.2,0.6
Random 4KB Write,randomwriteq4t16,16,4,64,151.54384,606.2,27.6,0.6
Random 4KB Write,randomwriteq4t32,32,4,128,8.399959999999998,1054.1,91.0,0.8
Random 4KB Write,randomwriteq4t64,64,4,256,8.322149999999999,1044.4,91.6,0.3
Random 4KB Write,randomwriteq8t1,1,8,8,37.26039,149.0,38.26,0
Random 4KB Write,randomwriteq8t2,2,8,16,53.73675,214.9,28.8,0.6
Random 4KB Write,randomwriteq8t4,4,8,32,91.80933,367.2,23.6,0.6
Random 4KB Write,randomwriteq8t8,8,8,64,181.41789,725.7,34.5,0.5
Random 4KB Write,randomwriteq8t16,16,8,128,202.00813,808.0,64.3,0.4
Random 4KB Write,randomwriteq8t32,32,8,256,171.42295000000001,685.7,76.2,0.4
Random 4KB Write,randomwriteq8t64,64,8,512,185.98991,744.1,87.6,0.4
Random 4KB Write,randomwriteq16t1,1,16,16,57.066919999999996,228.3,50.96,0
Random 4KB Write,randomwriteq16t2,2,16,32,75.92839,303.7,44.5,0.2
Random 4KB Write,randomwriteq16t4,4,16,64,176.03056,704.1,52.9,0.5
Random 4KB Write,randomwriteq16t8,8,16,128,177.15076000000002,708.6,96.6,0.1
Random 4KB Write,randomwriteq16t16,16,16,256,100.10596000000001,400.4,98.6,0.1
Random 4KB Write,randomwriteq16t32,32,16,512,107.47831,430.0,99.2,0.1
Random 4KB Write,randomwriteq16t64,64,16,1024,163.35671,653.5,98.0,0.1
Random 4KB Write,randomwriteq32t1,1,32,32,75.04158,300.2,75.06,0
Random 4KB Write,randomwriteq32t2,2,32,64,174.78383,699.1,80.2,0.2
Random 4KB Write,randomwriteq32t4,4,32,128,227.50713000000002,910.0,98.2,0.1
Random 4KB Write,randomwriteq32t8,8,32,256,206.38222,825.5,99.5,0.0
Random 4KB Write,randomwriteq32t16,16,32,512,112.29092999999999,449.2,99.4,0.0
Random 4KB Write,randomwriteq32t32,32,32,1024,176.92820999999998,707.7,94.5,5.0
Random 4KB Write,randomwriteq32t64,64,32,2048,192.12797,768.6,97.7,0.1
Random 4KB Write,randomwriteq64t1,1,64,64,133.53368,534.1,99.29,0
Random 4KB Write,randomwriteq64t2,2,64,128,188.59276,754.4,99.4,0.0
Random 4KB Write,randomwriteq64t4,4,64,256,229.62151,918.5,98.9,0.1
Random 4KB Write,randomwriteq64t8,8,64,512,112.45383,449.8,99.4,0.0
Random 4KB Write,randomwriteq64t16,16,64,1024,114.49739,458.0,99.4,0.0
Random 4KB Write,randomwriteq64t32,32,64,2048,184.11985,736.5,99.5,0.0
Random 4KB Write,randomwriteq64t64,64,64,4096,199.41158,797.7,98.6,0.1
Random 4KB Write,randomwriteq128t1,1,128,128,130.15346,520.6,99.27,0
Random 4KB Write,randomwriteq128t2,2,128,256,184.48746,738.0,99.4,0.0
Random 4KB Write,randomwriteq128t4,4,128,512,221.78044,887.1,99.2,0.0
Random 4KB Write,randomwriteq128t8,8,128,1024,202.35604999999998,809.4,99.4,0.0
Random 4KB Write,randomwriteq128t16,16,128,2048,195.03298999999998,780.1,99.4,0.0
Random 4KB Write,randomwriteq128t32,32,128,4096,110.14152,440.6,99.5,0.0
Random 4KB Write,randomwriteq128t64,64,128,8192,185.29593,741.3,98.1,0.1
